Ad Group,Keyword,Campaign,Criterion Type
recliners,sale recliners,SEM_Sofas,Phrase
recliners,recliners promotion,SEM_Sofas,Phrase
recliners,promotion recliners,SEM_Sofas,Phrase
recliners,recliners bargain,SEM_Sofas,Phrase
recliners,bargain recliners,SEM_Sofas,Phrase
recliners,recliners shop,SEM_Sofas,Phrase
recliners,shop recliners,SEM_Sofas,Phrase
sofa beds,sofa beds buy,SEM_Sofas,Phrase
sofa beds,buy sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds price,SEM_Sofas,Phrase
sofa beds,price sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds sale,SEM_Sofas,Phrase
sofa beds,sale sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds promotion,SEM_Sofas,Phrase
sofa beds,promotion sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds bargain,SEM_Sofas,Phrase
sofa beds,bargain sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds shop,SEM_Sofas,Phrase
sofa beds,shop sofa beds,SEM_Sofas,Phrase
